Epoch[46]-train avg_loss=0.364 avg_top1=0.760 avg_top2=0.928 avg_top3=0.953 avg_iou=0.500 
Epoch[46]-val   avg_loss=0.363 avg_top1=0.754 avg_top2=0.926 avg_top3=0.954 avg_iou=0.535 
Epoch[47]-train avg_loss=0.363 avg_top1=0.764 avg_top2=0.926 avg_top3=0.950 avg_iou=0.500 
Epoch[47]-val   avg_loss=0.358 avg_top1=0.752 avg_top2=0.932 avg_top3=0.960 avg_iou=0.535 
Epoch[48]-train avg_loss=0.359 avg_top1=0.764 avg_top2=0.927 avg_top3=0.951 avg_iou=0.500 
Epoch[48]-val   avg_loss=0.345 avg_top1=0.760 avg_top2=0.932 avg_top3=0.957 avg_iou=0.535 
Epoch[49]-train avg_loss=0.360 avg_top1=0.764 avg_top2=0.928 avg_top3=0.951 avg_iou=0.500 
Epoch[49]-val   avg_loss=0.356 avg_top1=0.747 avg_top2=0.931 avg_top3=0.959 avg_iou=0.535 
Epoch[50]-train avg_loss=0.355 avg_top1=0.765 avg_top2=0.928 avg_top3=0.952 avg_iou=0.500 
Epoch[50]-val   avg_loss=0.340 avg_top1=0.763 avg_top2=0.935 avg_top3=0.959 avg_iou=0.535 
Epoch[51]-train avg_loss=0.360 avg_top1=0.761 avg_top2=0.929 avg_top3=0.952 avg_iou=0.500 
Epoch[51]-val   avg_loss=0.345 avg_top1=0.761 avg_top2=0.934 avg_top3=0.960 avg_iou=0.535 
Epoch[52]-train avg_loss=0.354 avg_top1=0.767 avg_top2=0.930 avg_top3=0.954 avg_iou=0.500 
Epoch[52]-val   avg_loss=0.340 avg_top1=0.766 avg_top2=0.932 avg_top3=0.957 avg_iou=0.535 
Epoch[53]-train avg_loss=0.349 avg_top1=0.768 avg_top2=0.930 avg_top3=0.953 avg_iou=0.500 
Epoch[53]-val   avg_loss=0.335 avg_top1=0.759 avg_top2=0.934 avg_top3=0.959 avg_iou=0.535 
Epoch[54]-train avg_loss=0.353 avg_top1=0.766 avg_top2=0.928 avg_top3=0.952 avg_iou=0.500 
Epoch[54]-val   avg_loss=0.341 avg_top1=0.758 avg_top2=0.934 avg_top3=0.960 avg_iou=0.535 
Epoch[55]-train avg_loss=0.337 avg_top1=0.772 avg_top2=0.933 avg_top3=0.955 avg_iou=0.500 
Epoch[55]-val   avg_loss=0.333 avg_top1=0.768 avg_top2=0.933 avg_top3=0.960 avg_iou=0.535 
Epoch[56]-train avg_loss=0.336 avg_top1=0.775 avg_top2=0.933 avg_top3=0.956 avg_iou=0.500 
Epoch[56]-val   avg_loss=0.332 avg_top1=0.766 avg_top2=0.936 avg_top3=0.961 avg_iou=0.535 
Epoch[57]-train avg_loss=0.338 avg_top1=0.775 avg_top2=0.934 avg_top3=0.956 avg_iou=0.500 
Epoch[57]-val   avg_loss=0.334 avg_top1=0.765 avg_top2=0.934 avg_top3=0.960 avg_iou=0.535 
Epoch[58]-train avg_loss=0.342 avg_top1=0.769 avg_top2=0.932 avg_top3=0.956 avg_iou=0.500 
Epoch[58]-val   avg_loss=0.335 avg_top1=0.762 avg_top2=0.937 avg_top3=0.961 avg_iou=0.535 
Epoch[59]-train avg_loss=0.326 avg_top1=0.774 avg_top2=0.934 avg_top3=0.956 avg_iou=0.500 
Epoch[59]-val   avg_loss=0.324 avg_top1=0.765 avg_top2=0.938 avg_top3=0.962 avg_iou=0.535 
Epoch[60]-train avg_loss=0.325 avg_top1=0.776 avg_top2=0.937 avg_top3=0.957 avg_iou=0.500 
Epoch[60]-val   avg_loss=0.324 avg_top1=0.773 avg_top2=0.935 avg_top3=0.962 avg_iou=0.535 
Epoch[61]-train avg_loss=0.327 avg_top1=0.777 avg_top2=0.935 avg_top3=0.955 avg_iou=0.500 
Epoch[61]-val   avg_loss=0.323 avg_top1=0.771 avg_top2=0.935 avg_top3=0.959 avg_iou=0.535 
Epoch[62]-train avg_loss=0.321 avg_top1=0.780 avg_top2=0.936 avg_top3=0.955 avg_iou=0.500 
Epoch[62]-val   avg_loss=0.320 avg_top1=0.766 avg_top2=0.939 avg_top3=0.964 avg_iou=0.535 
Epoch[63]-train avg_loss=0.323 avg_top1=0.779 avg_top2=0.935 avg_top3=0.957 avg_iou=0.500 
Epoch[63]-val   avg_loss=0.323 avg_top1=0.768 avg_top2=0.935 avg_top3=0.961 avg_iou=0.535 
Epoch[64]-train avg_loss=0.317 avg_top1=0.783 avg_top2=0.937 avg_top3=0.958 avg_iou=0.500 
Epoch[64]-val   avg_loss=0.313 avg_top1=0.773 avg_top2=0.941 avg_top3=0.964 avg_iou=0.535 
Epoch[65]-train avg_loss=0.320 avg_top1=0.781 avg_top2=0.937 avg_top3=0.958 avg_iou=0.500 
Epoch[65]-val   avg_loss=0.313 avg_top1=0.774 avg_top2=0.940 avg_top3=0.965 avg_iou=0.535 
Epoch[66]-train avg_loss=0.318 avg_top1=0.779 avg_top2=0.937 avg_top3=0.958 avg_iou=0.500 
Epoch[66]-val   avg_loss=0.310 avg_top1=0.772 avg_top2=0.940 avg_top3=0.963 avg_iou=0.535 
Epoch[67]-train avg_loss=0.313 avg_top1=0.783 avg_top2=0.938 avg_top3=0.959 avg_iou=0.500 
Epoch[67]-val   avg_loss=0.316 avg_top1=0.765 avg_top2=0.938 avg_top3=0.962 avg_iou=0.535 
Epoch[68]-train avg_loss=0.311 avg_top1=0.784 avg_top2=0.939 avg_top3=0.959 avg_iou=0.500 
Epoch[68]-val   avg_loss=0.307 avg_top1=0.775 avg_top2=0.943 avg_top3=0.965 avg_iou=0.535 
Epoch[69]-train avg_loss=0.314 avg_top1=0.782 avg_top2=0.939 avg_top3=0.959 avg_iou=0.500 
Epoch[69]-val   avg_loss=0.309 avg_top1=0.771 avg_top2=0.939 avg_top3=0.963 avg_iou=0.535 
Epoch[70]-train avg_loss=0.313 avg_top1=0.785 avg_top2=0.940 avg_top3=0.959 avg_iou=0.500 
Epoch[70]-val   avg_loss=0.311 avg_top1=0.775 avg_top2=0.937 avg_top3=0.961 avg_iou=0.535 
Epoch[71]-train avg_loss=0.308 avg_top1=0.782 avg_top2=0.939 avg_top3=0.959 avg_iou=0.500 
Epoch[71]-val   avg_loss=0.322 avg_top1=0.765 avg_top2=0.935 avg_top3=0.962 avg_iou=0.535 
Epoch[72]-train avg_loss=0.306 avg_top1=0.786 avg_top2=0.940 avg_top3=0.961 avg_iou=0.500 
Epoch[72]-val   avg_loss=0.304 avg_top1=0.777 avg_top2=0.943 avg_top3=0.964 avg_iou=0.535 
Epoch[73]-train avg_loss=0.305 avg_top1=0.787 avg_top2=0.939 avg_top3=0.959 avg_iou=0.500 
Epoch[73]-val   avg_loss=0.305 avg_top1=0.773 avg_top2=0.944 avg_top3=0.966 avg_iou=0.535 
Epoch[74]-train avg_loss=0.309 avg_top1=0.779 avg_top2=0.940 avg_top3=0.960 avg_iou=0.500 
Epoch[74]-val   avg_loss=0.309 avg_top1=0.779 avg_top2=0.940 avg_top3=0.965 avg_iou=0.535 
Epoch[75]-train avg_loss=0.308 avg_top1=0.787 avg_top2=0.939 avg_top3=0.959 avg_iou=0.500 
Epoch[75]-val   avg_loss=0.297 avg_top1=0.781 avg_top2=0.946 avg_top3=0.967 avg_iou=0.535 
Epoch[76]-train avg_loss=0.308 avg_top1=0.786 avg_top2=0.940 avg_top3=0.960 avg_iou=0.500 
Epoch[76]-val   avg_loss=0.300 avg_top1=0.776 avg_top2=0.944 avg_top3=0.965 avg_iou=0.535 
Epoch[77]-train avg_loss=0.294 avg_top1=0.790 avg_top2=0.943 avg_top3=0.963 avg_iou=0.500 
Epoch[77]-val   avg_loss=0.299 avg_top1=0.780 avg_top2=0.943 avg_top3=0.965 avg_iou=0.535 
Epoch[78]-train avg_loss=0.292 avg_top1=0.793 avg_top2=0.944 avg_top3=0.963 avg_iou=0.500 
Epoch[78]-val   avg_loss=0.296 avg_top1=0.782 avg_top2=0.946 avg_top3=0.968 avg_iou=0.535 
Epoch[79]-train avg_loss=0.296 avg_top1=0.789 avg_top2=0.943 avg_top3=0.962 avg_iou=0.500 
Epoch[79]-val   avg_loss=0.294 avg_top1=0.782 avg_top2=0.942 avg_top3=0.965 avg_iou=0.535 
Epoch[80]-train avg_loss=0.296 avg_top1=0.788 avg_top2=0.942 avg_top3=0.961 avg_iou=0.500 
Epoch[80]-val   avg_loss=0.295 avg_top1=0.781 avg_top2=0.945 avg_top3=0.966 avg_iou=0.535 
Epoch[81]-train avg_loss=0.292 avg_top1=0.792 avg_top2=0.945 avg_top3=0.964 avg_iou=0.500 
Epoch[81]-val   avg_loss=0.290 avg_top1=0.785 avg_top2=0.946 avg_top3=0.968 avg_iou=0.535 
Epoch[82]-train avg_loss=0.294 avg_top1=0.792 avg_top2=0.943 avg_top3=0.962 avg_iou=0.500 
Epoch[82]-val   avg_loss=0.294 avg_top1=0.785 avg_top2=0.942 avg_top3=0.963 avg_iou=0.535 
Epoch[83]-train avg_loss=0.296 avg_top1=0.790 avg_top2=0.942 avg_top3=0.961 avg_iou=0.500 
Epoch[83]-val   avg_loss=0.294 avg_top1=0.785 avg_top2=0.946 avg_top3=0.966 avg_iou=0.535 
Epoch[84]-train avg_loss=0.291 avg_top1=0.795 avg_top2=0.944 avg_top3=0.963 avg_iou=0.500 
Epoch[84]-val   avg_loss=0.298 avg_top1=0.785 avg_top2=0.946 avg_top3=0.968 avg_iou=0.535 
Epoch[85]-train avg_loss=0.281 avg_top1=0.799 avg_top2=0.945 avg_top3=0.963 avg_iou=0.500 
Epoch[85]-val   avg_loss=0.288 avg_top1=0.785 avg_top2=0.944 avg_top3=0.966 avg_iou=0.535 
Epoch[86]-train avg_loss=0.287 avg_top1=0.794 avg_top2=0.946 avg_top3=0.964 avg_iou=0.500 
Epoch[86]-val   avg_loss=0.295 avg_top1=0.787 avg_top2=0.945 avg_top3=0.966 avg_iou=0.535 
Epoch[87]-train avg_loss=0.280 avg_top1=0.797 avg_top2=0.947 avg_top3=0.965 avg_iou=0.500 
Epoch[87]-val   avg_loss=0.289 avg_top1=0.790 avg_top2=0.948 avg_top3=0.969 avg_iou=0.535 
Epoch[88]-train avg_loss=0.284 avg_top1=0.795 avg_top2=0.945 avg_top3=0.963 avg_iou=0.500 
Epoch[88]-val   avg_loss=0.291 avg_top1=0.783 avg_top2=0.948 avg_top3=0.969 avg_iou=0.535 
Epoch[89]-train avg_loss=0.288 avg_top1=0.795 avg_top2=0.944 avg_top3=0.963 avg_iou=0.500 
Epoch[89]-val   avg_loss=0.285 avg_top1=0.786 avg_top2=0.951 avg_top3=0.972 avg_iou=0.535 
Epoch[90]-train avg_loss=0.282 avg_top1=0.799 avg_top2=0.946 avg_top3=0.963 avg_iou=0.500 
Epoch[90]-val   avg_loss=0.302 avg_top1=0.786 avg_top2=0.944 avg_top3=0.967 avg_iou=0.535 
Epoch[91]-train avg_loss=0.290 avg_top1=0.792 avg_top2=0.943 avg_top3=0.963 avg_iou=0.500 
Epoch[91]-val   avg_loss=0.287 avg_top1=0.787 avg_top2=0.947 avg_top3=0.968 avg_iou=0.535 
Epoch[92]-train avg_loss=0.285 avg_top1=0.794 avg_top2=0.946 avg_top3=0.964 avg_iou=0.500 
